action_swap_path,label_A,label_B,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,background_choice,choice,choice_is_human,choice_is_bg
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001371_playing saxophone_to_clean and jerk_nRC40jLHx0w_000194_000204_bg_JwWF76Pu1Gk_000011_000021,playing saxophone,clean and jerk,playing saxophone,driving car,clean and jerk,surfing water,canoeing or kayaking,1,3,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001372_playing piano_to_deadlifting_6eD0pATYoIY_000008_000018_bg_ZnAx8TRZ0NY_000002_000012,playing piano,deadlifting,surfing water,playing piano,catching or throwing frisbee,bowling,deadlifting,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001373_sword fighting_to_juggling balls_gnPMxTPhJwg_000206_000216_bg_Ag0HsiBioRI_000042_000052,sword fighting,juggling balls,skiing (not slalom or crosscountry),tying tie,juggling balls,sword fighting,skipping rope,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001374_playing trumpet_to_archery_TL-jX3mjc3k_000088_000098_bg_VADKkEVjQrU_001656_001666,playing trumpet,archery,archery,brushing hair,playing basketball,playing trumpet,skiing slalom,4,1,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001375_flying kite_to_catching or throwing baseball_I84fWDl0fRg_000000_000010_bg_CR0PV8jmGqg_000003_000013,flying kite,catching or throwing baseball,flying kite,drinking,catching or throwing baseball,playing tennis,juggling soccer ball,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001376_catching or throwing baseball_to_playing trumpet_F9kCgXa2aTs_000018_000028_bg_ab_OfNZPMD4_000232_000242,catching or throwing baseball,playing trumpet,golf driving,shooting goal (soccer),catching or throwing baseball,drinking,playing trumpet,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001377_sweeping floor_to_brushing hair_o6Q7NLnM7sQ_000370_000380_bg_a2WgvBUiNE0_000144_000154,sweeping floor,brushing hair,eating cake,shooting basketball,brushing hair,sweeping floor,deadlifting,4,3,E,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001378_playing basketball_to_driving car_Xb6cm8N2cFQ_000137_000147_bg_XwOo3SKUciI_000025_000035,playing basketball,driving car,shooting basketball,hurdling,playing basketball,flying kite,driving car,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001379_opening bottle_to_climbing a rope_qkeWHzb6U-I_000121_000131_bg__3qg-oAr7b0_000019_000029,opening bottle,climbing a rope,surfing water,climbing a rope,catching or throwing baseball,hurdling,opening bottle,5,2,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001380_walking the dog_to_punching person (boxing)_lcrknfBv_wI_000003_000013_bg_TPZkjJgcHZg_000032_000042,walking the dog,punching person (boxing),punching person (boxing),walking the dog,climbing a rope,eating ice cream,canoeing or kayaking,2,1,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001381_clean and jerk_to_playing saxophone_egZqefmMHOQ_000076_000086_bg_5bRseNSffik_000455_000465,clean and jerk,playing saxophone,playing trumpet,clean and jerk,playing accordion,driving car,playing saxophone,2,5,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001382_deadlifting_to_playing guitar_SZqOaOEGo_g_000002_000012_bg_w3FrNMmFPFM_000082_000092,deadlifting,playing guitar,deadlifting,juggling soccer ball,playing bass guitar,playing guitar,writing,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001383_playing trumpet_to_reading newspaper_ZATfwKJ725E_000105_000115_bg_VQQVouaEnfI_000017_000027,playing trumpet,reading newspaper,driving car,playing trumpet,reading newspaper,playing tennis,climbing a rope,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001384_sweeping floor_to_punching person (boxing)_k884aDwlkFo_000001_000011_bg_59-9QPuRgVs_000036_000046,sweeping floor,punching person (boxing),sweeping floor,playing accordion,playing saxophone,playing trumpet,punching person (boxing),1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001385_playing accordion_to_reading newspaper_v81yYiZTOtw_000055_000065_bg_H1qb8IhOX-Y_000203_000213,playing accordion,reading newspaper,driving car,reading newspaper,cleaning windows,eating ice cream,playing accordion,5,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001386_canoeing or kayaking_to_smoking_SJfxkFQjS8o_000083_000093_bg_JzSw34VjIzo_000032_000042,canoeing or kayaking,smoking,smoking,juggling balls,canoeing or kayaking,skiing slalom,catching or throwing baseball,3,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001387_shooting goal (soccer)_to_catching or throwing baseball_JzeSVFWHtsg_000000_000010_bg_dLPysQnsT0Q_000014_000024,shooting goal (soccer),catching or throwing baseball,playing tennis,playing violin,skiing slalom,shooting goal (soccer),catching or throwing baseball,4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001388_deadlifting_to_writing_f8dp7wR4GWg_000003_000013_bg_QwxUvhD4ImM_000160_000170,deadlifting,writing,bowling,drinking,writing,catching or throwing frisbee,deadlifting,5,3,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001389_golf driving_to_playing accordion_gQhXAY6rS-s_000009_000019_bg_GqIVXd-dtis_000065_000075,golf driving,playing accordion,flying kite,clean and jerk,playing accordion,golf driving,climbing ladder,4,3,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001390_catching or throwing frisbee_to_canoeing or kayaking_XbDTCf515XE_000004_000014_bg_ipshO0VZ5do_000033_000043,catching or throwing frisbee,canoeing or kayaking,catching or throwing frisbee,reading newspaper,playing guitar,deadlifting,canoeing or kayaking,1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001391_skiing slalom_to_hitting baseball_rKzN_KFOXco_000003_000013_bg_3USSmzO001k_000058_000068,skiing slalom,hitting baseball,catching or throwing frisbee,skiing slalom,hitting baseball,punching person (boxing),playing accordion,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001392_playing tennis_to_playing guitar_eVOwQGj0ImI_000464_000474_bg_wmWCtlyvzWM_000113_000123,playing tennis,playing guitar,playing tennis,eating ice cream,playing accordion,driving car,playing guitar,1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001393_catching or throwing frisbee_to_opening bottle_VCiihiWyHGU_000024_000034_bg_CrhPxGAf8Yc_000024_000034,catching or throwing frisbee,opening bottle,catching or throwing frisbee,shooting goal (soccer),playing trumpet,opening bottle,archery,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001394_playing bass guitar_to_playing volleyball_3AKiMufDtCI_000060_000070_bg_DW4qNjcT-Sk_000009_000019,playing bass guitar,playing volleyball,walking the dog,playing guitar,playing bass guitar,drinking,playing volleyball,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001395_catching or throwing frisbee_to_playing basketball_cMVEIKYF7Ps_000105_000115_bg_efJORnxWfdA_000051_000061,catching or throwing frisbee,playing basketball,catching or throwing frisbee,reading newspaper,playing basketball,walking the dog,shooting goal (soccer),1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001396_tying tie_to_brushing hair_zVlHUt0eWbU_000090_000100_bg_6inRgsTHfPY_000325_000335,tying tie,brushing hair,dunking basketball,brushing hair,playing saxophone,playing trumpet,tying tie,5,2,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001397_juggling soccer ball_to_punching person (boxing)_INE1G3CoLaU_000017_000027_bg_I8UkuuTsmOo_000021_000031,juggling soccer ball,punching person (boxing),punching person (boxing),juggling soccer ball,golf driving,climbing a rope,deadlifting,2,1,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001398_playing saxophone_to_hurdling_eXBaVsma73Q_000301_000311_bg_mx-PG3EN02c_000002_000012,playing saxophone,hurdling,playing saxophone,shooting basketball,hurdling,sweeping floor,drinking,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001399_flying kite_to_driving car_0huAN2gC6Pc_000143_000153_bg_sJ9aA_w87II_000047_000057,flying kite,driving car,playing bass guitar,catching or throwing frisbee,driving car,flying kite,climbing a rope,4,3,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001400_cleaning windows_to_playing volleyball_8ciou4_tgD8_000016_000026_bg_6IPue5yWpJo_000159_000169,cleaning windows,playing volleyball,playing volleyball,cleaning windows,archery,flying kite,walking the dog,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001401_driving car_to_clean and jerk_mM8A7RHUtlI_000064_000074_bg_7mRMQ-Ao1NE_000019_000029,driving car,clean and jerk,clean and jerk,driving car,climbing a rope,reading book,hurdling,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001402_dribbling basketball_to_playing violin_UthqVZFc6Zk_000145_000155_bg_RL9vt7ZinXU_000116_000126,dribbling basketball,playing violin,dribbling basketball,playing basketball,playing violin,juggling soccer ball,skiing slalom,1,3,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001403_smoking_to_playing guitar_7INhc7jN5Ps_000004_000014_bg_s3dK8R-jzac_000031_000041,smoking,playing guitar,catching or throwing frisbee,walking the dog,playing guitar,smoking,eating ice cream,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001404_shooting goal (soccer)_to_reading newspaper_IylnYlhxmZk_000046_000056_bg_uPnEZd6wCtk_000006_000016,shooting goal (soccer),reading newspaper,shooting goal (soccer),playing basketball,reading newspaper,climbing a rope,sword fighting,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001405_sweeping floor_to_climbing a rope_dK8V0bB-m18_000000_000010_bg_zMfe-irysi8_000003_000013,sweeping floor,climbing a rope,climbing a rope,cleaning windows,playing saxophone,drinking,sweeping floor,5,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001406_skiing (not slalom or crosscountry)_to_dribbling basketball_3FsDDitvJWY_001964_001974_bg_uHR8pakSKkI_000055_000065,skiing (not slalom or crosscountry),dribbling basketball,eating cake,skiing (not slalom or crosscountry),dribbling basketball,dunking basketball,playing bass guitar,2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001407_brushing teeth_to_playing accordion_2agWm6N2260_000000_000010_bg_NP7yfmnxohw_000010_000020,brushing teeth,playing accordion,skiing slalom,playing bass guitar,brushing teeth,juggling balls,playing accordion,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001408_canoeing or kayaking_to_smoking_0V61r7VFl9E_000179_000189_bg_B8WPXlVXb6Q_000022_000032,canoeing or kayaking,smoking,walking the dog,smoking,archery,canoeing or kayaking,bowling,4,2,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001409_playing piano_to_reading book_7KEUN4ysTe0_000014_000024_bg_t-CG8YUiyHE_000031_000041,playing piano,reading book,dunking basketball,brushing hair,playing piano,reading book,playing violin,3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001410_reading book_to_juggling soccer ball_CmdAnab0vQ4_000009_000019_bg_yHqx_bo9fLg_000002_000012,reading book,juggling soccer ball,juggling soccer ball,playing accordion,reading book,playing tennis,skipping rope,3,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001411_shooting basketball_to_drinking_mmGSQfAVPgM_000355_000365_bg_caFV09HNzzI_000023_000033,shooting basketball,drinking,golf driving,shooting basketball,playing saxophone,drinking,playing tennis,2,4,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001412_driving car_to_eating ice cream_kNivGPu8oiw_000028_000038_bg_XGh8Q2nklzg_000003_000013,driving car,eating ice cream,climbing ladder,eating ice cream,sword fighting,reading newspaper,driving car,5,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001413_archery_to_climbing a rope_9W09aRkVYC4_000004_000014_bg_5HcTcVVikHs_000000_000010,archery,climbing a rope,surfing water,brushing teeth,climbing a rope,smoking,archery,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001414_clean and jerk_to_sword fighting_iUANfGZ5dCY_000014_000024_bg_bPHsWugu78s_000119_000129,clean and jerk,sword fighting,flying kite,deadlifting,sword fighting,drinking,clean and jerk,5,3,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001415_skipping rope_to_climbing a rope_kts3pJ922Go_000112_000122_bg_zMfe-irysi8_000003_000013,skipping rope,climbing a rope,skiing (not slalom or crosscountry),playing guitar,drinking,climbing a rope,skipping rope,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001416_catching or throwing baseball_to_playing basketball_u9qR9c2HsA4_000008_000018_bg_0zTKKv_g0CY_000223_000233,catching or throwing baseball,playing basketball,playing saxophone,hurdling,playing basketball,catching or throwing baseball,catching or throwing frisbee,4,3,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001417_playing bass guitar_to_playing tennis_2CAikoWEcn8_000149_000159_bg_OY0ZXpdz8kg_000046_000056,playing bass guitar,playing tennis,playing bass guitar,shooting goal (soccer),reading newspaper,playing tennis,drinking,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001418_driving car_to_playing violin_p6vr6WVh2Ss_000036_000046_bg_F-cmTIX6Drw_000002_000012,driving car,playing violin,brushing hair,canoeing or kayaking,eating ice cream,driving car,playing violin,4,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001419_playing basketball_to_bowling_5DyidFJuzQY_000122_000132_bg_--dVV4_CSvw_000033_000043,playing basketball,bowling,shooting basketball,playing guitar,bowling,playing basketball,reading book,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001420_playing saxophone_to_brushing teeth_uukFI6uF-Uk_000045_000055_bg_DIrJ-X5GLyQ_000060_000070,playing saxophone,brushing teeth,brushing teeth,sweeping floor,playing saxophone,skiing slalom,opening bottle,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001421_brushing teeth_to_archery_xCtFp27ilbU_000003_000013_bg_mnUVG7T6iKg_000109_000119,brushing teeth,archery,archery,flying kite,brushing teeth,canoeing or kayaking,catching or throwing baseball,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001422_eating cake_to_dribbling basketball_jQnDFmBZMJ0_000031_000041_bg_rTDOx0cndCc_000005_000015,eating cake,dribbling basketball,dribbling basketball,eating cake,shooting goal (soccer),skiing slalom,sweeping floor,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001423_climbing a rope_to_brushing teeth_ZuCWeUQeAkI_000007_000017_bg_Hwuul-R9x_g_000067_000077,climbing a rope,brushing teeth,hitting baseball,brushing teeth,climbing a rope,drinking,skiing (not slalom or crosscountry),3,2,C,True,False
